Lot_color	dist	percent	value	order
R	narrow	0	0	1
R	narrow	10	0	1
R	narrow	20	0	1
R	narrow	30	5	1
R	narrow	40	2	1
R	narrow	50	0	1
R	narrow	60	0	1
R	narrow	70	2	1
R	narrow	80	1	1
R	narrow	90	0	1
R	narrow	100	0	1
G	skew	0	0	3
G	skew	10	0	3
G	skew	20	0	3
G	skew	30	1	3
G	skew	40	5	3
G	skew	50	0	3
G	skew	60	1	3
G	skew	70	1	3
G	skew	80	1	3
G	skew	90	1	3
G	skew	100	0	3
B	wide	0	0	2
B	wide	10	0	2
B	wide	20	2	2
B	wide	30	2	2
B	wide	40	2	2
B	wide	50	1	2
B	wide	60	1	2
B	wide	70	1	2
B	wide	80	1	2
B	wide	90	0	2
B	wide	100	0	2
