Lot_color	dist	percent	value	order
R	narrow	0	5	2
R	narrow	10	2	2
R	narrow	20	6	2
R	narrow	30	5	2
R	narrow	40	4	2
R	narrow	50	4	2
R	narrow	60	2	2
R	narrow	70	2	2
R	narrow	80	1	2
R	narrow	90	1	2
R	narrow	100	0	2
G	skew	0	0	3
G	skew	10	0	3
G	skew	20	0	3
G	skew	30	0	3
G	skew	40	3	3
G	skew	50	5	3
G	skew	60	6	3
G	skew	70	6	3
G	skew	80	6	3
G	skew	90	5	3
G	skew	100	3	3
B	wide	0	5	1
B	wide	10	3	1
B	wide	20	3	1
B	wide	30	3	1
B	wide	40	2	1
B	wide	50	5	1
B	wide	60	4	1
B	wide	70	4	1
B	wide	80	2	1
B	wide	90	2	1
B	wide	100	3	1
