Lot_color	dist	percent	value	order
R	narrow	0	0	2
R	narrow	10	0	2
R	narrow	20	0	2
R	narrow	30	2	2
R	narrow	40	2	2
R	narrow	50	4	2
R	narrow	60	1	2
R	narrow	70	1	2
R	narrow	80	0	2
R	narrow	90	0	2
R	narrow	100	0	2
G	skew	0	0	1
G	skew	10	0	1
G	skew	20	0	1
G	skew	30	0	1
G	skew	40	0	1
G	skew	50	2	1
G	skew	60	4	1
G	skew	70	2	1
G	skew	80	2	1
G	skew	90	0	1
G	skew	100	0	1
B	wide	0	2	3
B	wide	10	1	3
B	wide	20	1	3
B	wide	30	1	3
B	wide	40	0	3
B	wide	50	1	3
B	wide	60	0	3
B	wide	70	0	3
B	wide	80	0	3
B	wide	90	2	3
B	wide	100	2	3
