Lot_color	dist	percent	value	order
R	narrow	0	3	2
R	narrow	10	2	2
R	narrow	20	3	2
R	narrow	30	1	2
R	narrow	40	1	2
R	narrow	50	4	2
R	narrow	60	3	2
R	narrow	70	1	2
R	narrow	80	0	2
R	narrow	90	0	2
R	narrow	100	0	2
G	wide	0	0	1
G	wide	10	3	1
G	wide	20	2	1
G	wide	30	1	1
G	wide	40	2	1
G	wide	50	2	1
G	wide	60	3	1
G	wide	70	2	1
G	wide	80	0	1
G	wide	90	1	1
G	wide	100	0	1
B	skew	0	0	3
B	skew	10	1	3
B	skew	20	2	3
B	skew	30	3	3
B	skew	40	4	3
B	skew	50	4	3
B	skew	60	3	3
B	skew	70	3	3
B	skew	80	0	3
B	skew	90	0	3
B	skew	100	0	3
