Lot_color	dist	percent	value	order
R	skew	0	0	3
R	skew	10	0	3
R	skew	20	0	3
R	skew	30	0	3
R	skew	40	0	3
R	skew	50	0	3
R	skew	60	0	3
R	skew	70	0	3
R	skew	80	0	3
R	skew	90	0	3
R	skew	100	0	3
G	narrow	0	0	1
G	narrow	10	0	1
G	narrow	20	0	1
G	narrow	30	0	1
G	narrow	40	0	1
G	narrow	50	0	1
G	narrow	60	0	1
G	narrow	70	0	1
G	narrow	80	0	1
G	narrow	90	0	1
G	narrow	100	0	1
B	wide	0	1	2
B	wide	10	2	2
B	wide	20	3	2
B	wide	30	1	2
B	wide	40	5	2
B	wide	50	6	2
B	wide	60	2	2
B	wide	70	10	2
B	wide	80	2	2
B	wide	90	2	2
B	wide	100	0	2
