Lot_color	dist	percent	value	order
R	wide	0	6	3
R	wide	10	0	3
R	wide	20	0	3
R	wide	30	2	3
R	wide	40	0	3
R	wide	50	0	3
R	wide	60	0	3
R	wide	70	2	3
R	wide	80	5	3
R	wide	90	4	3
R	wide	100	6	3
G	narrow	0	0	1
G	narrow	10	2	1
G	narrow	20	2	1
G	narrow	30	4	1
G	narrow	40	0	1
G	narrow	50	0	1
G	narrow	60	0	1
G	narrow	70	5	1
G	narrow	80	0	1
G	narrow	90	0	1
G	narrow	100	0	1
B	skew	0	0	2
B	skew	10	0	2
B	skew	20	0	2
B	skew	30	0	2
B	skew	40	2	2
B	skew	50	3	2
B	skew	60	3	2
B	skew	70	8	2
B	skew	80	1	2
B	skew	90	0	2
B	skew	100	1	2
