Lot_color	dist	percent	value	order
R	narrow	0	0	1
R	narrow	10	0	1
R	narrow	20	2	1
R	narrow	30	1	1
R	narrow	40	0	1
R	narrow	50	6	1
R	narrow	60	0	1
R	narrow	70	1	1
R	narrow	80	0	1
R	narrow	90	0	1
R	narrow	100	0	1
G	wide	0	3	3
G	wide	10	0	3
G	wide	20	0	3
G	wide	30	0	3
G	wide	40	0	3
G	wide	50	2	3
G	wide	60	3	3
G	wide	70	0	3
G	wide	80	0	3
G	wide	90	3	3
G	wide	100	3	3
B	skew	0	0	2
B	skew	10	0	2
B	skew	20	1	2
B	skew	30	0	2
B	skew	40	0	2
B	skew	50	1	2
B	skew	60	1	2
B	skew	70	0	2
B	skew	80	3	2
B	skew	90	3	2
B	skew	100	0	2
