Lot_color	dist	percent	value	order
R	wide	0	1	1
R	wide	10	2	1
R	wide	20	2	1
R	wide	30	4	1
R	wide	40	4	1
R	wide	50	1	1
R	wide	60	0	1
R	wide	70	0	1
R	wide	80	0	1
R	wide	90	0	1
R	wide	100	0	1
G	skew	0	0	3
G	skew	10	1	3
G	skew	20	2	3
G	skew	30	3	3
G	skew	40	3	3
G	skew	50	2	3
G	skew	60	1	3
G	skew	70	0	3
G	skew	80	0	3
G	skew	90	0	3
G	skew	100	0	3
B	narrow	0	1	2
B	narrow	10	1	2
B	narrow	20	0	2
B	narrow	30	0	2
B	narrow	40	3	2
B	narrow	50	2	2
B	narrow	60	1	2
B	narrow	70	1	2
B	narrow	80	1	2
B	narrow	90	1	2
B	narrow	100	0	2
