Lot_color	dist	percent	value	order
R	wide	0	4	1
R	wide	10	1	1
R	wide	20	2	1
R	wide	30	2	1
R	wide	40	1	1
R	wide	50	2	1
R	wide	60	1	1
R	wide	70	1	1
R	wide	80	1	1
R	wide	90	2	1
R	wide	100	2	1
G	narrow	0	0	2
G	narrow	10	0	2
G	narrow	20	3	2
G	narrow	30	2	2
G	narrow	40	2	2
G	narrow	50	5	2
G	narrow	60	2	2
G	narrow	70	3	2
G	narrow	80	1	2
G	narrow	90	0	2
G	narrow	100	0	2
B	skew	0	0	3
B	skew	10	0	3
B	skew	20	0	3
B	skew	30	0	3
B	skew	40	1	3
B	skew	50	1	3
B	skew	60	0	3
B	skew	70	2	3
B	skew	80	2	3
B	skew	90	4	3
B	skew	100	0	3
