Lot_color	dist	percent	value	order
R	wide	0	5	2
R	wide	10	1	2
R	wide	20	0	2
R	wide	30	0	2
R	wide	40	0	2
R	wide	50	1	2
R	wide	60	1	2
R	wide	70	0	2
R	wide	80	2	2
R	wide	90	2	2
R	wide	100	2	2
G	narrow	0	0	1
G	narrow	10	0	1
G	narrow	20	0	1
G	narrow	30	2	1
G	narrow	40	3	1
G	narrow	50	8	1
G	narrow	60	3	1
G	narrow	70	2	1
G	narrow	80	0	1
G	narrow	90	0	1
G	narrow	100	0	1
B	skew	0	0	3
B	skew	10	0	3
B	skew	20	0	3
B	skew	30	0	3
B	skew	40	0	3
B	skew	50	1	3
B	skew	60	3	3
B	skew	70	8	3
B	skew	80	3	3
B	skew	90	2	3
B	skew	100	0	3
