Lot_color	dist	percent	value	order
R	narrow	0	0	2
R	narrow	10	1	2
R	narrow	20	1	2
R	narrow	30	0	2
R	narrow	40	-1	2
R	narrow	50	1	2
R	narrow	60	0	2
R	narrow	70	1	2
R	narrow	80	0	2
R	narrow	90	1	2
R	narrow	100	0	2
G	skew	0	1	3
G	skew	10	1	3
G	skew	20	1	3
G	skew	30	1	3
G	skew	40	-1	3
G	skew	50	1	3
G	skew	60	0	3
G	skew	70	2	3
G	skew	80	2	3
G	skew	90	1	3
G	skew	100	0	3
B	wide	0	0	1
B	wide	10	1	1
B	wide	20	1	1
B	wide	30	0	1
B	wide	40	0	1
B	wide	50	0	1
B	wide	60	1	1
B	wide	70	0	1
B	wide	80	0	1
B	wide	90	0	1
B	wide	100	1	1
