Lot_color	dist	percent	value	order
R	skew	0	0	3
R	skew	10	0	3
R	skew	20	0	3
R	skew	30	0	3
R	skew	40	2	3
R	skew	50	5	3
R	skew	60	4	3
R	skew	70	4	3
R	skew	80	0	3
R	skew	90	0	3
R	skew	100	0	3
G	narrow	0	0	2
G	narrow	10	0	2
G	narrow	20	0	2
G	narrow	30	2	2
G	narrow	40	4	2
G	narrow	50	5	2
G	narrow	60	4	2
G	narrow	70	0	2
G	narrow	80	0	2
G	narrow	90	0	2
G	narrow	100	0	2
B	wide	0	3	1
B	wide	10	0	1
B	wide	20	3	1
B	wide	30	1	1
B	wide	40	0	1
B	wide	50	2	1
B	wide	60	0	1
B	wide	70	3	1
B	wide	80	1	1
B	wide	90	2	1
B	wide	100	4	1
