Lot_color	dist	percent	value	order
R	wide	0	5	3
R	wide	10	2	3
R	wide	20	2	3
R	wide	30	0	3
R	wide	40	0	3
R	wide	50	2	3
R	wide	60	0	3
R	wide	70	2	3
R	wide	80	0	3
R	wide	90	3	3
R	wide	100	0	3
G	skew	0	0	1
G	skew	10	0	1
G	skew	20	1	1
G	skew	30	0	1
G	skew	40	0	1
G	skew	50	6	1
G	skew	60	0	1
G	skew	70	4	1
G	skew	80	2	1
G	skew	90	2	1
G	skew	100	0	1
B	narrow	0	0	2
B	narrow	10	2	2
B	narrow	20	0	2
B	narrow	30	0	2
B	narrow	40	0	2
B	narrow	50	3	2
B	narrow	60	0	2
B	narrow	70	4	2
B	narrow	80	1	2
B	narrow	90	3	2
B	narrow	100	0	2
