Lot_color	dist	percent	value	order
R	narrow	0	2	2
R	narrow	10	3	2
R	narrow	20	2	2
R	narrow	30	4	2
R	narrow	40	6	2
R	narrow	50	7	2
R	narrow	60	2	2
R	narrow	70	1	2
R	narrow	80	0	2
R	narrow	90	0	2
R	narrow	100	0	2
G	wide	0	5	1
G	wide	10	2	1
G	wide	20	6	1
G	wide	30	2	1
G	wide	40	3	1
G	wide	50	4	1
G	wide	60	4	1
G	wide	70	2	1
G	wide	80	4	1
G	wide	90	1	1
G	wide	100	3	1
B	skew	0	0	3
B	skew	10	0	3
B	skew	20	0	3
B	skew	30	0	3
B	skew	40	4	3
B	skew	50	6	3
B	skew	60	2	3
B	skew	70	6	3
B	skew	80	5	3
B	skew	90	1	3
B	skew	100	0	3
